項目名,項目ID,属性,属性チェック,桁数,空白を削除する,暦書式,暦エラータイプ,レコード出力タイプ,最終出力タイプ,最終出力値,全角,大文字,項目出力
WK_EOS_RESERVE_ITEM4,189 EOS予備項目04,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_EOS_RESERVE_ITEM5,190 EOS予備項目05,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_EOS_RESERVE_ITEM6,191 EOS予備項目06,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_EOS_RESERVE_ITEM7,192 EOS予備項目07,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_EOS_RESERVE_ITEM8,193 EOS予備項目08,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_EOS_RESERVE_ITEM9,194 EOS予備項目09,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_EOS_RESERVE_ITEM10,195 EOS予備項目10,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_EOS_RESERVE_ITEM11,196 EOS予備項目11,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_EOS_RESERVE_ITEM12,197 EOS予備項目12,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_EOS_RESERVE_ITEM13,198 EOS予備項目13,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_EOS_RESERVE_ITEM14,199 EOS予備項目14,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_EOS_RESERVE_ITEM15,200 EOS予備項目15,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_EOS_RESERVE_ITEM16,201 EOS予備項目16,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_EOS_RESERVE_ITEM17,202 EOS予備項目17,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_EOS_RESERVE_ITEM18,203 EOS予備項目18,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_EOS_RESERVE_ITEM19,204 EOS予備項目19,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_EOS_RESERVE_ITEM20,205 EOS予備項目20,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
UPDATE_USER_NAME,206 更新担当者名,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
USER_UPDATE_DATETIME,207 担当者更新日時,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,日付と時刻を出力する,yyyy/MM/dd HH:mm:ss,全角⇒半角変換,大文字⇒小文字変換,はい
UPDATE_PRG_NAME,208 更新プログラム名,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
PRG_UPDATE_DATETIME,209 プログラム更新日時,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,日付と時刻を出力する,yyyy/MM/dd HH:mm:ss,全角⇒半角変換,大文字⇒小文字変換,はい
USER_RESERVE1,210 ユーザ予約01,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
USER_RESERVE2,211 ユーザ予約02,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
USER_RESERVE3,212 ユーザ予約03,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
USER_RESERVE4,213 ユーザ予約04,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
USER_RESERVE5,214 ユーザ予約05,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
USER_RESERVE6,215 ユーザ予約06,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
USER_RESERVE7,216 ユーザ予約07,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
USER_RESERVE8,217 ユーザ予約08,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
USER_RESERVE9,218 ユーザ予約09,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
USER_RESERVE10,219 ユーザ予約10,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
SYSTEM_RESERVE1,220 システム予約01,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
SYSTEM_RESERVE2,221 システム予約02,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
SYSTEM_RESERVE3,222 システム予約03,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
SYSTEM_RESERVE4,223 システム予約04,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
SYSTEM_RESERVE5,224 システム予約05,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
SYSTEM_RESERVE6,225 システム予約06,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
SYSTEM_RESERVE7,226 システム予約07,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
SYSTEM_RESERVE8,227 システム予約08,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
SYSTEM_RESERVE9,228 システム予約09,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
SYSTEM_RESERVE10,229 システム予約10,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
OUTPUT_FLG,230 レコード出力判定,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,いいえ
